TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2013,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.4064171123
2015,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.245359161
2013,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.4420289855
2006,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.122265385
2007,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.947004608
2008,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.290685031
2022,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,28.59491988
2016,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,33.333333333
2017,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,40.28365265
2008,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,24.578575313
2009,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,22.439843313
2010,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,22.67699115
2011,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,21.963394343
2012,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,20.724233983
2014,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.017331023
2015,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,21.853292581
2016,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.282040647
2017,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.368449707
2018,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.521462639
2019,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.306986232
2007,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,42.857142857
